The Rt Hon Jeremy Hunt, Secretary of State for Health  ,,,,,,
Date gift given ,From   ,Gift ,Value  ,Outcome   ,,
Nil , , ,,,,
Dr. Dan Poulter / Parliamentary Under-Secretary for State for Health  ,,,,,,
Date gift given ,From   ,Gift ,Value  ,Outcome   ,,
Nil , , ,,,,
Norman Lamb MP, Minister of State for Care and Support  ,,,,,,
Date gift given ,From   ,Gift ,Value  ,Outcome   ,,
Nil , , , , ,,
Jane Ellison MP, Parliamentary Under Secretary of State for Public Health  ,,,,,,
Date gift given ,From   ,Gift ,Value  ,Outcome   ,,
Nil , , , , ,,
Earl Howe, Parliamentary Under-Secretary of State for Quality   ,,,,,,
Date gift given ,From   ,Gift ,Value  ,Outcome   ,,
Nil , , , , ,,
The Rt Hon Jeremy Hunt, Secretary of State for Health  ,,,,,,
Date gift received ,From   ,Gift ,Value  ,Outcome   ,,
Nil , , ,,,,
Norman Lamb MP, Minister of State for Care and Support  ,,,,,,
Date gift received ,From   ,Gift ,Value  ,Outcome   ,,
Nil , , , , ,,
Jane Ellison MP, Parliamentary Under Secretary of State for Public Health  ,,,,,,
Date gift received ,From   ,Gift ,Value  ,Outcome   ,,
Nil , , , , ,,
Dr Dan Poulter MP, Parliamentary Under Secretary of State for Health  ,,,,,,
Date gift received ,From   ,Gift ,Value  ,Outcome   ,,
Nil , , , , ,,
Earl Howe, Parliamentary Under-Secretary of State for Quality   ,,,,,,
Date gift received ,From   ,Gift ,Value  ,Outcome   ,,
Nil , , , , ,,
The Rt Hon Jeremy Hunt, Secretary of State for Health  ,,,,,,
Date ,Name of Organisation  ,Type of Hospitality Received   ,,,,
6 January 2015 ,Royal College of Physicians ,Dinner ,,,,
4 February 2015 ,College of Emergency Medicine ,Dinner ,,,,
Dr. Dan Poulter / Parliamentary Under-Secretary for State for Health  ,,,,,,
Date ,Name of Organisation  ,Type of Hospitality Received   ,,,,
Nil , , ,,,,
Norman Lamb MP, Minister of State for Care and Support  ,,,,,,
Date ,Name of Organisation  ,Type of Hospitality Received   ,,,,
12 March 2015 ,The Times ,Dinner  ,,,,
17 March 2015 ,Mental Health Annual Conference ,Dinner ,,,,
Earl Howe, Parliamentary-under-Secretary of State for Quality  ,,,,,,
Date ,Name of Organisation  ,Type of Hospitality Received   ,,,,
4 February 2015 ,College of Emergency Medicine ,Dinner ,,,,
 Jane Ellison MP, Parliamentary Under Secretary of State for Public Health,,,,,,
Date ,Name of Organisation  ,Type of Hospitality Received   ,,,,
Nil , , ,,,,
The Rt Hon Jeremy Hunt, Secretary of State for Health  ,,,,,,
Date(s) of trip ,Destination   ,Purpose of trip ,‘Scheduled’ ‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Chartered’ or ‘Eurostar’  ,Number of officials accompanying Minister, where non-scheduled travel is used    ,Total cost including travel, and accommodation of Minister only ,
16 – 17 March 2015 ,Geneva, Switzerland ,To attend a World Health Organisation summit ,Scheduled , , ,£265 
Dr. Dan Poulte / Parliamentary Under-Secretary for State for Health  ,,,,,,
Date(s) of trip ,Destination   ,Purpose of trip ,‘Scheduled’ ‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Chartered’ or ‘Eurostar’   ,Number of officials accompanying Minister, where non-scheduled travel is used    ,Total cost including travel, and accommodation of Minister only ,
Nil , , , , , ,
r,,,,,,
,,,,,,
 ,,,,,,
Date(s) of trip ,Destination   ,Purpose of trip ,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Charter’ or ‘Eurostar’   ,Number of officials accompanying Minister, where non-scheduled travel is used    ,Total cost including travel, and accommodation of Minister only ,
Nil , , , , , ,
Earl Howe, Parliamentary-under-Secretary of State for Quality  ,,,,,,
Date(s) of trip ,Destination  , Purpose of trip ,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Charter’ or ‘Eurostar’   ,Number of officials accompanying Minister, where non-scheduled travel is used    ,Total cost including travel, and accommodation of Minister only ,
Nil , , , , , ,
,,,,,,
Jane Ellison MP, Parliamentary Under Secretay of State fo Public Health  ,,,,,,
Date(s) of trip ,Destination   ,Purpose of trip ,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Charter’ or ‘Eurostar’   ,Number of officials accompanying Minister, where non-scheduled travel is used    ,Total cost including travel, and accommodation of Minister only ,
Nil , , , , , ,
The Rt Hon Jeremy Hunt, Secretary of State for Health ,,,,,,
Date of Meeting  ,Name of Organisation ,Purpose of Meeting       ,,,,
January 2015 ,College of Emergency Medicine ,Catch-up discussion on NHS winter pressures ,,,,
January 2015 ,Ovarian Cancer Action ,Introductory discussion on ovarian cancer services ,,,,
January 2015 ,World Health Organisation ,Bi-lateral with Margaret Chan, Director General ,,,,
January 2015 ,Greene King ,Discussion on Dementia Friends programme ,,,,
January 2015 ,Royal College of General Practitioners ,Catch-up discussion on NHS primary care services ,,,,
January 2015 ,Unison ,Discussion on NHS industrial relations ,,,,
January 2015 ,National Association of Primary Care ,Catch-up discussion on NHS primary care services ,,,,
February 2015 ,Cambridge Health Network ,Roundtable discussion on healthcare technology ,,,,
February 2015 ,Eli Lilly ,Introductory discussion ,,,,
February 2015 ,Air Accidents Investigation Branch ,Introductory discussion on airline safety ,,,,
March 2015 ,OC&C Stategy Consultants ,Discussion on leadership ,,,,
March 2015 ,World Health Organisation ,International Summit in Geneva ,,,,
March 2015 ,Organisation for Economic Co-operation and Development ,Discussion on healthcare services in England ,,,,
March 2015 ,Macmillan, Marie Curie, National Council for Palliative Care, Cicely Saunders International, Motor Neurone Disease Association, Sue Ryder, Hospice Uk ,Roundtable discussion on end of life care ,,,,
 ,,,,,,
Dr. Dan Poulter / Parliamentary Under-Secretary for State for Health  ,,,,,,
Date of Meeting  ,Name of Organisation ,Purpose of Meeting       ,,,,
January 2015 ,Group B Strep Support ,Cross party delegation to discuss concerns of Group B Strep Support Group ,,,,
January 2015 ,British Medical Association  ,Discussion on General Medical Council objectives ,,,,
January 2015 ,General Medical Council, Health Education England and Medical Schools Council  ,Discussion on point of registration ,,,,
January 2015 ,Federation of Surgical Speciality Associations ,Catch-up discussion on medical innovation ,,,,
February 2015 ,Allied Health Professional Forum ,Catch-up discussion with Allied Health Professional leads ,,,,
March 2015 ,Children and Young People's Forum ,Catch up discussion on children and young people ,,,,
March 2015 ,Royal College of Physicians ,Discussion on workforce.  ,,,,
March 2015 ,Royal College of Obstetricians and Gynaecologists ,Catch-up discussion on gynaecology  ,,,,
Norman Lamb MP, Minister of State for Care and Support   ,,,,,,
Date of meeting ,Name of organisation ,Purpose of meeting ,,,,
January 2015 ,Think Ahead ,Catch-up discussion ,,,,
January 2015 ,Care England ,Discussion on integrated care ,,,,
January 2015 ,Centreforum  ,Discussion on social care  ,,,,
January 2015 ,Challenging Behaviour Foundation ,Discussion on learning disability  ,,,,
January 2015 ,National Council for Palliative Care and Dying Matters ,Discussion on end of life care  ,,,,
January 2015 ,The Priory ,Discussion on addiction and mental health ,,,,
January 2015 ,Voluntary, Community and Social Enterprise Steering Group ,Discussion on upcoming review of VCSE organisations ,,,,
January 2015 ,Care and Support Transformation Group ,Discussion on social care  ,,,,
February 2015 ,Local Government Association ,Discussion on sector-led improvement ,,,,
